formname,form_version,question_level_1,question_level_2,question_level_3,question_level_4,question_level_5,question_level_6,question_level_7,question_mapping_index,mapping_text,mapping_attribute,target_domain,target_variable,annotation_offset_x,annotation_offset_y,annotation_width,annotation_height,source_domain,source_variable,derivation_text,Key Value
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,Yes,,,,1,SEX,,DM,SEX,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.Yes....SEX.DM.SEX
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,Yes,,,,3,RPORRES where RPTESTCD = CHILDPOT ,,RP,RPORRES,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.Yes....RPORRES where RPTESTCD = CHILDPOT .RP.RPORRES
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,Yes,,,,3,RPSTAT,,RP,RPSTAT,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.Yes....RPSTAT.RP.RPSTAT
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,Yes,,,,3,RPREASND,,RP,RPREASND,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.Yes....RPREASND.RP.RPREASND
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,Not Applicable,,,,1,SEX,,DM,SEX,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.Not Applicable....SEX.DM.SEX
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,Not Applicable,,,,3,RPORRES where RPTESTCD = CHILDPOT ,,RP,RPORRES,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.Not Applicable....RPORRES where RPTESTCD = CHILDPOT .RP.RPORRES
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,Not Applicable,,,,3,RPSTAT,,RP,RPSTAT,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.Not Applicable....RPSTAT.RP.RPSTAT
Form: Demographics,1,Sex,Female,Does the subject have child bearing potential?,Not Applicable,,,,3,RPREASND,,RP,RPREASND,100,0,200,50,,,,Form: Demographics.1.Sex.Female.Does the subject have child bearing potential?.Not Applicable....RPREASND.RP.RPREASND
Form: Demographics,1,Sex,Male,,,,,,1,SEX,,DM,SEX,100,0,200,50,,,,Form: Demographics.1.Sex.Male......SEX.DM.SEX
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","No, not of Hispanic, Latino/a, or Spanish origin",,,,,,2,ETHNIC = NOT HISPANIC OR LATINO,,DM,ETHNIC,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).No, not of Hispanic, Latino/a, or Spanish origin......ETHNIC = NOT HISPANIC OR LATINO.DM.ETHNIC"
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","Yes, Mexican, Mexican American, Chicano/a",,,,,,2,SUPPDM.QVAL where QNAM = ETHNICOR ,,DM,ETHNICOR,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).Yes, Mexican, Mexican American, Chicano/a......SUPPDM.QVAL where QNAM = ETHNICOR .DM.ETHNICOR"
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","Yes, Mexican, Mexican American, Chicano/a",,,,,,2,ETHNIC = HISPANIC OR LATINO,,DM,ETHNIC,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).Yes, Mexican, Mexican American, Chicano/a......ETHNIC = HISPANIC OR LATINO.DM.ETHNIC"
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","Yes, Puerto Rican",,,,,,2,SUPPDM.QVAL where QNAM = ETHNICOR ,,DM,ETHNICOR,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).Yes, Puerto Rican......SUPPDM.QVAL where QNAM = ETHNICOR .DM.ETHNICOR"
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","Yes, Puerto Rican",,,,,,2,ETHNIC = HISPANIC OR LATINO,,DM,ETHNIC,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).Yes, Puerto Rican......ETHNIC = HISPANIC OR LATINO.DM.ETHNIC"
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","Yes, Cuban",,,,,,2,SUPPDM.QVAL where QNAM = ETHNICOR ,,DM,ETHNICOR,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).Yes, Cuban......SUPPDM.QVAL where QNAM = ETHNICOR .DM.ETHNICOR"
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","Yes, Cuban",,,,,,2,ETHNIC = HISPANIC OR LATINO,,DM,ETHNIC,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).Yes, Cuban......ETHNIC = HISPANIC OR LATINO.DM.ETHNIC"
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","Yes, Another Hispanic, Latino/a or Spanish origin",,,,,,2,SUPPDM.QVAL where QNAM = ETHNICOR ,,DM,ETHNICOR,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).Yes, Another Hispanic, Latino/a or Spanish origin......SUPPDM.QVAL where QNAM = ETHNICOR .DM.ETHNICOR"
Form: Demographics,1,"Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected)","Yes, Another Hispanic, Latino/a or Spanish origin",,,,,,2,ETHNIC = HISPANIC OR LATINO,,DM,ETHNIC,100,0,200,50,,,,"Form: Demographics.1.Are you Hispanic, Latino/a, or of Spanish origin? Which of the following 5 racial designations best describes you? (One or more categories may be selected).Yes, Another Hispanic, Latino/a or Spanish origin......ETHNIC = HISPANIC OR LATINO.DM.ETHNIC"
Form: Demographics,1,What is your race? (one or more categories may be selected),White,,,,,,2,RACE,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).White......RACE.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),White,,,,,,2,SUPPDM.QVAL where QNAM = RACE1 ,,DM,RACE1,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).White......SUPPDM.QVAL where QNAM = RACE1 .DM.RACE1
Form: Demographics,1,What is your race? (one or more categories may be selected),Black or African American,,,,,,2,RACE,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Black or African American......RACE.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Black or African American,,,,,,2,SUPPDM.QVAL where QNAM = RACE2 ,,DM,RACE2,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Black or African American......SUPPDM.QVAL where QNAM = RACE2 .DM.RACE2
Form: Demographics,1,What is your race? (one or more categories may be selected),American Indian or Alaska Native,,,,,,2,RACE,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).American Indian or Alaska Native......RACE.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),American Indian or Alaska Native,,,,,,2,SUPPDM.QVAL where QNAM = RACE3 ,,DM,RACE3,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).American Indian or Alaska Native......SUPPDM.QVAL where QNAM = RACE3 .DM.RACE3
Form: Demographics,1,What is your race? (one or more categories may be selected),Asian Indian,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Asian Indian......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Asian Indian,,,,,,2,RACE = ASIAN,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Asian Indian......RACE = ASIAN.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Chinese,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Chinese......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Chinese,,,,,,2,RACE = ASIAN,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Chinese......RACE = ASIAN.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Filipino,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Filipino......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Filipino,,,,,,2,RACE = ASIAN,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Filipino......RACE = ASIAN.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Japanese,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Japanese......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Japanese,,,,,,2,RACE = ASIAN,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Japanese......RACE = ASIAN.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Korean,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Korean......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Korean,,,,,,2,RACE = ASIAN,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Korean......RACE = ASIAN.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Vietnamese,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Vietnamese......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Vietnamese,,,,,,2,RACE = ASIAN,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Vietnamese......RACE = ASIAN.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Other Asian,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Other Asian......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Other Asian,,,,,,2,RACE = ASIAN,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Other Asian......RACE = ASIAN.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Other Asian,,,,,,2,SUPPDM.QVAL where QNAM = RACE4 ,,DM,RACE4,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Other Asian......SUPPDM.QVAL where QNAM = RACE4 .DM.RACE4
Form: Demographics,1,What is your race? (one or more categories may be selected),Native Hawaiian,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Native Hawaiian......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Native Hawaiian,,,,,,2,RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Native Hawaiian......RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Guamanian or Chamorro,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Guamanian or Chamorro......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Guamanian or Chamorro,,,,,,2,RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Guamanian or Chamorro......RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Samoan,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Samoan......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Samoan,,,,,,2,RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Samoan......RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Other Pacific Islander,,,,,,2,SUPPDM.QVAL where QNAM = RACEOR ,,DM,RACEOR,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Other Pacific Islander......SUPPDM.QVAL where QNAM = RACEOR .DM.RACEOR
Form: Demographics,1,What is your race? (one or more categories may be selected),Other Pacific Islander,,,,,,2,RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,,DM,RACE,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Other Pacific Islander......RACE = NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER.DM.RACE
Form: Demographics,1,What is your race? (one or more categories may be selected),Other Pacific Islander,,,,,,2,SUPPDM.QVAL where QNAM = RACE5 ,,DM,RACE5,100,0,200,50,,,,Form: Demographics.1.What is your race? (one or more categories may be selected).Other Pacific Islander......SUPPDM.QVAL where QNAM = RACE5 .DM.RACE5
Form: Demographics,1,TODAYSDATE,25-Sep-18,,,,,,,,,,,,,,,,,,Form: Demographics.1.TODAYSDATE.43368........
Form: Demographics,1,Derived age,,,,,,,,,,,,,,,,,,,Form: Demographics.1.Derived age.........
Form: Demographics,1,Default Birth date,,,,,,,,,,,,,,,,,,,Form: Demographics.1.Default Birth date.........
